segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-05-20T21:51:50.883174-03:00,A,240p,200,6133.68,0.033,6.46,1.94,2.0,0,1,0.033,0
2,2026-05-20T21:51:51.061693-03:00,A,1080p,3000,2005.4,1.496,23.16,8.3,2.5,0,0,0.0,0
3,2026-05-20T21:51:53.613381-03:00,A,1080p,3000,2101.58,1.427,19.31,11.61,3.08,1,0,0.0,0
4,2026-05-20T21:51:56.028289-03:00,A,720p,1500,2802.66,0.535,19.82,14.07,4.54,1,0,0.0,0
5,2026-05-20T21:51:57.252196-03:00,A,720p,1500,2002.7,0.749,25.23,17.42,5.79,1,0,0.0,0
6,2026-05-20T21:51:58.562525-03:00,A,720p,1500,1872.47,0.801,25.95,19.98,6.99,1,0,0.0,0
7,2026-05-20T21:51:59.789629-03:00,A,720p,1500,2812.12,0.533,22.61,20.77,8.45,1,0,0.0,0
8,2026-05-20T21:52:00.937273-03:00,A,720p,1500,2425.07,0.619,26.27,22.42,9.84,1,0,0.0,0
9,2026-05-20T21:52:02.250549-03:00,A,720p,1500,2272.95,0.66,22.39,22.41,11.18,1,0,0.0,0
10,2026-05-20T21:52:03.477389-03:00,A,720p,1500,2431.45,0.617,25.8,23.43,12.56,1,0,0.0,0
