segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-05-17T21:54:08.340357,A,240p,200,2130.65,0.094,8.47,2.54,2.0,0,1,0.094,0
2,2026-05-17T21:54:08.515218,A,720p,1500,2242.22,0.669,7.87,4.14,3.33,0,0,0.0,0
3,2026-05-17T21:54:09.701588,A,720p,1500,2036.67,0.736,7.83,5.25,4.59,1,0,0.0,0
4,2026-05-17T21:54:10.907733,A,720p,1500,2016.55,0.744,8.07,6.1,5.85,1,0,0.0,0
5,2026-05-17T21:54:12.123830,A,720p,1500,2073.46,0.723,8.1,6.7,7.12,1,0,0.0,0
6,2026-05-17T21:54:13.295993,A,720p,1500,2054.77,0.73,7.91,7.06,8.39,1,0,0.0,0
7,2026-05-17T21:54:14.507998,A,720p,1500,2030.44,0.739,7.9,7.31,9.65,1,0,0.0,0
8,2026-05-17T21:54:15.712767,A,720p,1500,2144.49,0.699,7.76,7.45,10.95,1,0,0.0,0
9,2026-05-17T21:54:16.901047,A,720p,1500,2272.99,0.66,7.83,7.56,12.29,1,0,0.0,0
10,2026-05-17T21:54:18.092340,A,720p,1500,2037.72,0.736,7.88,7.66,13.56,1,0,0.0,0
11,2026-05-17T21:54:19.296552,A,720p,1500,2118.51,0.708,8.06,7.78,14.85,1,0,0.0,0
12,2026-05-17T21:54:20.496220,A,720p,1500,2086.48,0.719,8.21,7.91,16.13,1,0,0.0,0
13,2026-05-17T21:54:21.679035,A,720p,1500,2120.52,0.707,8.07,7.96,17.42,1,0,0.0,0
14,2026-05-17T21:54:22.849895,A,720p,1500,2046.64,0.733,8.03,7.98,18.69,1,0,0.0,0
15,2026-05-17T21:54:24.002714,A,720p,1500,2154.52,0.696,7.93,7.96,19.99,1,0,0.0,0
16,2026-05-17T21:54:25.195154,A,720p,1500,2168.93,0.692,7.8,7.91,21.3,1,0,0.0,0
17,2026-05-17T21:54:26.419404,A,720p,1500,2057.19,0.729,8.04,7.95,22.57,1,0,0.0,0
18,2026-05-17T21:54:27.605937,A,720p,1500,2035.39,0.737,7.94,7.95,23.83,1,0,0.0,0
19,2026-05-17T21:54:28.825678,A,720p,1500,2201.25,0.681,7.54,7.82,25.15,1,0,0.0,0
20,2026-05-17T21:54:29.993493,A,720p,1500,2267.4,0.662,7.68,7.78,26.48,1,0,0.0,0
